emg_col0,emg_col1,emg_col2,emg_col3,emg_col4,emg_col5,emg_col6,emg_col7,emg_col8,emg_col9,emg_col10,emg_col11
-2.85121E-06,3.35526E-06,1.59887E-06,-1.39423E-06,-2.08201E-06,2.74997E-06,-2.34779E-06,1.53744E-07,-2.48479E-07,1.46992E-06,-5.60909E-06,4.0181E-05
-4.69774E-06,3.35521E-06,1.43044E-06,-3.07268E-06,-3.06304E-06,2.24654E-06,-1.65716E-07,2.50345E-06,-3.56111E-07,2.47816E-06,-3.25939E-06,4.95803E-05
-2.68373E-06,4.02656E-06,9.26316E-07,-5.42253E-06,-3.69591E-06,1.23957E-06,2.35206E-06,5.52456E-06,-2.44561E-07,2.47931E-06,-7.04527E-08,4.70623E-05
2.18371E-06,2.85157E-06,7.5789E-07,-6.59743E-06,-3.93712E-06,1.57539E-06,2.0164E-06,5.18868E-06,1.09445E-06,2.81615E-06,1.43999E-06,3.17878E-05
4.19771E-06,6.69476E-07,1.76441E-06,-5.42244E-06,-5.65294E-06,7.3626E-07,8.41495E-07,8.24423E-07,1.15475E-06,2.81729E-06,9.70084E-08,1.39956E-05
2.35118E-06,1.00513E-06,1.93168E-06,-3.91175E-06,-7.09832E-06,-2.45276E-06,-5.01264E-07,-3.20414E-06,1.09853E-06,8.04248E-07,-1.24598E-06,1.07093E-06
-8.38137E-07,2.68357E-06,2.2668E-06,-2.90461E-06,-7.53092E-06,-4.80253E-06,-6.69075E-07,-3.03647E-06,4.23187E-07,-1.37665E-06,-1.41402E-06,-9.33596E-06
-2.68466E-06,1.50857E-06,2.09837E-06,-2.40102E-06,-7.58148E-06,-5.13811E-06,-5.01189E-07,-3.20449E-06,-1.19492E-06,-7.04104E-07,4.32124E-07,-1.48752E-05
-7.04893E-06,6.69276E-07,2.93704E-06,-2.40097E-06,-9.2598E-06,-2.4524E-06,-3.01889E-06,-5.55456E-06,-2.92956E-06,8.07686E-07,2.78182E-06,-2.17573E-05
-1.22524E-05,6.69226E-07,3.27216E-06,-3.07233E-06,-8.80264E-06,6.5462E-08,-7.71863E-06,-7.06538E-06,-3.26936E-06,1.48023E-06,2.78162E-06,-3.43462E-05
-1.25883E-05,1.17272E-06,1.76094E-06,-2.56873E-06,-5.02815E-06,1.40838E-06,-9.39709E-06,-7.40126E-06,-3.04105E-06,2.48847E-06,1.27079E-06,-4.20675E-05
-9.56722E-06,2.01192E-06,-4.21683E-07,-2.06514E-06,-1.12594E-06,2.41559E-06,-6.54361E-06,-6.22649E-06,-2.25788E-06,3.66457E-06,5.992E-07,-4.12285E-05
-7.21752E-06,2.17972E-06,-1.09366E-06,-3.07219E-06,-1.32855E-06,3.92636E-06,-2.51519E-06,-3.87677E-06,-1.59074E-06,4.16926E-06,1.10255E-06,-3.77039E-05
-6.21061E-06,-2.37535E-09,-2.54995E-07,-4.41494E-06,-2.37363E-06,4.76573E-06,6.73975E-07,-6.87815E-07,-1.19449E-06,2.82762E-06,9.34512E-07,-3.77041E-05
-4.868E-06,-2.01662E-06,-1.59837E-06,-3.57565E-06,-1.8675E-06,5.94079E-06,1.34541E-06,-1.65928E-08,-1.58619E-06,-1.92518E-07,1.43787E-06,-4.22363E-05
-2.85399E-06,-1.68097E-06,-4.28454E-06,-3.07206E-06,-3.4569E-07,6.78016E-06,3.38351E-07,-1.02386E-06,-1.08706E-06,-1.36631E-06,2.10907E-06,-4.54256E-05
-2.68632E-06,5.01015E-07,-3.61372E-06,-3.07201E-06,-2.74764E-07,4.26255E-06,-1.84365E-06,-2.36683E-06,-3.55029E-07,-1.36516E-06,2.10888E-06,-4.27403E-05
-8.39338E-06,2.683E-06,-2.43936E-06,-2.06487E-06,7.22903E-07,1.24138E-06,-1.17222E-06,-2.19916E-06,-1.08235E-06,-1.53186E-06,1.94084E-06,-3.65301E-05
-1.56111E-05,4.36144E-06,-1.9364E-06,-7.22035E-07,3.05354E-06,9.05806E-07,1.34556E-06,-1.52793E-06,-1.59048E-06,-2.8735E-06,1.94065E-06,-2.797E-05
-1.69541E-05,5.36848E-06,-2.10483E-06,-3.86292E-07,3.82521E-06,9.05929E-07,3.02409E-06,-2.8709E-06,-1.86546E-06,-3.54375E-06,-7.45134E-07,-2.29347E-05
-1.24223E-05,5.70413E-06,-3.11251E-06,2.85149E-07,1.24012E-06,-1.01043E-07,2.85627E-06,-4.54957E-06,-1.75346E-06,-4.54969E-06,-2.08812E-06,-2.25993E-05
-8.39411E-06,4.69698E-06,-3.61664E-06,-3.86203E-07,-2.39631E-06,-3.12221E-06,4.36695E-06,-7.06748E-06,-2.4296E-06,-4.88423E-06,5.97278E-07,-2.10888E-05
-5.20516E-06,3.35413E-06,-2.27443E-06,-1.05756E-06,-3.79217E-06,-3.79348E-06,6.04548E-06,-6.8998E-06,-3.04019E-06,-5.55448E-06,2.10773E-06,-1.28644E-05
4.19422E-06,3.52193E-06,7.48759E-08,-3.86114E-07,-1.83286E-06,-1.77916E-06,5.37412E-06,-8.57403E-07,-2.42457E-06,-8.07106E-06,1.26829E-06,-1.28307E-06
1.91326E-05,5.36821E-06,1.08139E-06,6.21026E-07,8.87397E-07,1.24225E-06,2.52072E-06,5.01715E-06,-4.1528E-07,-9.4127E-06,-1.24964E-06,7.27703E-06
2.70213E-05,4.19321E-06,-9.3339E-07,-8.89571E-07,1.57715E-06,2.24947E-06,3.38713E-07,5.85622E-06,1.3241E-06,-7.73305E-06,-1.58553E-06,1.91941E-05
