emg_col0,emg_col1,emg_col2,emg_col3,emg_col4,emg_col5,emg_col6,emg_col7,emg_col8,emg_col9,emg_col10,emg_col11
-1.3327E-05,-4.48542E-06,-3.00636E-06,2.05629E-06,2.31754E-07,-3.47067E-06,-1.27175E-05,-5.28218E-06,-4.8089E-06,-4.04439E-06,9.64891E-08,-5.36007E-05
-2.60835E-05,-5.8283E-06,-1.66357E-06,-1.25778E-07,5.67556E-07,-6.17158E-07,-8.85688E-06,-7.46453E-06,-2.12315E-06,-3.37303E-06,-1.24636E-06,-4.53771E-05
-3.59865E-05,-6.49977E-06,-2.50282E-06,-1.97215E-06,9.03358E-07,1.22925E-06,-2.64642E-06,-8.47194E-06,-2.45868E-06,-1.69458E-06,-1.07856E-06,-3.4468E-05
-2.94403E-05,-1.96792E-06,-4.34916E-06,-1.97218E-06,3.0855E-06,5.5793E-07,3.9217E-08,-4.61172E-06,-3.80131E-06,-5.19678E-07,-4.07213E-07,-1.71806E-05
-7.95546E-06,1.06207E-05,-4.68486E-06,-7.9726E-07,5.26765E-06,1.73294E-06,5.42808E-07,2.43763E-06,-2.6262E-06,3.19529E-07,-1.07866E-06,1.58847E-05
1.21865E-05,2.37128E-05,-5.35625E-06,-7.97288E-07,4.59635E-06,3.24366E-06,7.107E-07,3.61226E-06,-1.95464E-06,3.19489E-07,-2.75721E-06,6.75812E-05
1.2858E-05,1.96844E-05,-7.37044E-06,-1.97226E-06,1.57517E-06,2.06879E-06,3.75045E-07,-1.92708E-06,-3.63297E-06,-1.35904E-06,-1.75016E-06,0.000131363
-2.91969E-06,-7.17157E-06,-1.1231E-05,-2.97939E-06,-1.61386E-06,8.93917E-07,3.93904E-08,-6.79502E-06,-5.98269E-06,-4.54822E-06,9.35374E-07,0.000175674
-6.94797E-06,-3.2349E-05,-1.27416E-05,-2.81156E-06,-9.42361E-07,1.56539E-06,5.4298E-07,-6.62749E-06,-6.82177E-06,-4.71611E-06,1.94242E-06,0.000172148
1.40333E-05,-3.08385E-05,-7.37044E-06,-1.97235E-06,1.74333E-06,1.73331E-06,3.06076E-06,-9.2093E-07,-5.98236E-06,-1.02346E-06,2.61377E-06,0.000131695
3.70287E-05,-9.52169E-06,2.02911E-06,-1.30098E-06,2.58268E-06,2.06908E-06,5.41069E-06,6.29627E-06,-3.12876E-06,2.50133E-06,2.61371E-06,8.50322E-05
3.77002E-05,8.94165E-06,6.39319E-06,-6.29609E-07,2.58278E-06,1.22991E-06,5.41074E-06,9.82079E-06,-1.1144E-06,3.34054E-06,2.11012E-06,5.07899E-05
2.05797E-05,9.61297E-06,3.03621E-06,-1.13318E-06,3.58998E-06,-1.12811E-07,3.39659E-06,6.1278E-06,-1.78564E-06,1.66201E-06,2.27791E-06,3.18219E-05
6.14476E-06,2.39538E-06,-1.99927E-06,-2.97956E-06,2.91868E-06,-1.95908E-06,1.38244E-06,1.09201E-06,-3.12827E-06,-1.65173E-08,3.28496E-06,2.15821E-05
5.13776E-06,-7.93835E-07,-1.99927E-06,-2.30819E-06,1.24029E-06,-1.959E-06,2.05388E-06,-1.2582E-06,-3.63165E-06,3.19144E-07,3.62061E-06,9.66371E-06
1.0509E-05,3.06662E-06,1.18987E-06,8.80921E-07,2.75104E-06,-1.12588E-07,4.06811E-06,-2.26561E-06,-2.45654E-06,3.19107E-07,3.62056E-06,-3.26172E-06
1.36983E-05,6.92708E-06,1.52557E-06,2.72723E-06,3.08684E-06,-1.12512E-07,3.9003E-06,-3.10517E-06,-2.45638E-06,-3.52326E-07,2.94911E-06,-1.2998E-05
1.16842E-05,7.2627E-06,1.52557E-06,1.38441E-06,1.5763E-06,-9.51682E-07,1.04691E-06,-2.60193E-06,-4.13471E-06,-3.52362E-07,9.34871E-07,-1.73632E-05
6.81666E-06,5.91983E-06,3.03621E-06,1.72008E-06,-1.10919E-06,-1.79085E-06,-9.67242E-07,-2.0987E-06,-4.63809E-06,-3.52398E-07,2.63425E-07,-1.83713E-05
4.13117E-06,5.08051E-06,2.86836E-06,4.57349E-06,-2.11619E-06,-2.79787E-06,3.9897E-08,-1.93116E-06,-3.46299E-06,-5.20283E-07,2.63375E-07,-1.93794E-05
4.46697E-06,3.2341E-06,2.36481E-06,8.0983E-06,5.69503E-07,-3.80489E-06,3.75636E-07,-1.26008E-06,-2.45573E-06,-1.67705E-08,-9.11619E-07,-1.88769E-05
3.45998E-06,2.39477E-06,6.8632E-07,1.01125E-05,3.75874E-06,-2.46202E-06,-1.30282E-06,7.53802E-07,-2.45557E-06,-3.52504E-07,-1.75091E-06,-1.73673E-05
7.74493E-07,1.89115E-06,-6.56474E-07,1.01124E-05,4.93378E-06,-2.79905E-07,-2.30987E-06,2.59983E-06,-4.41211E-07,-5.20388E-07,-1.75096E-06,-1.65291E-05
7.74596E-07,1.72323E-06,-3.20776E-07,9.94455E-06,4.26249E-06,-1.79047E-06,4.00614E-08,3.94231E-06,2.30348E-07,-1.68745E-08,-1.58316E-06,-1.50195E-05
1.78179E-06,1.21961E-06,-3.20776E-07,1.01124E-05,2.2484E-06,-4.81168E-06,2.38999E-06,4.44555E-06,-7.76585E-07,4.86639E-07,-9.11815E-07,-1.16636E-05
1.61405E-06,2.1244E-07,-1.16002E-06,6.58751E-06,2.34305E-07,-5.65085E-06,2.55788E-06,4.44524E-06,-1.78352E-06,-1.69423E-08,-1.07971E-06,-2.43289E-06
-1.07144E-06,-7.94728E-07,-1.66357E-06,-6.30032E-07,-1.01295E-07,-4.30798E-06,7.11579E-07,4.78062E-06,6.29859E-08,-1.02407E-06,-7.44063E-07,1.11619E-05
-3.58907E-06,-1.4662E-06,1.49229E-08,-6.00124E-06,-6.04743E-07,-3.3008E-06,-2.14182E-06,3.94107E-06,1.40594E-06,-1.6955E-06,5.98683E-07,2.55959E-05
-3.75681E-06,-4.59173E-07,1.49229E-08,-9.69395E-06,-2.11529E-06,-3.30073E-06,-1.97393E-06,1.08732E-06,1.4061E-06,-1.35984E-06,-7.27618E-08,3.70086E-05
-2.24607E-06,-6.27094E-07,-1.49572E-06,-1.01975E-05,-3.62583E-06,-3.4685E-06,-2.95398E-07,-4.23639E-07,2.58121E-06,-1.69557E-06,-5.76358E-07,3.96931E-05
-1.07102E-06,-9.62866E-07,-1.99927E-06,-8.35121E-06,-9.40144E-07,-2.12562E-06,-1.30245E-06,7.9597E-08,3.92417E-06,-5.20654E-07,2.6284E-07,3.09639E-05
-2.24586E-06,-6.27237E-07,-9.92173E-07,-5.66565E-06,2.41694E-06,1.06359E-06,-3.14875E-06,4.14985E-07,6.27422E-06,3.5077E-06,2.62792E-07,1.61922E-05
-4.25994E-06,-6.27308E-07,-1.16002E-06,-3.98719E-06,3.75983E-06,2.74216E-06,-4.49151E-06,-5.92422E-07,8.28857E-06,4.85046E-06,-1.08005E-06,1.42041E-06
-6.10618E-06,-4.5953E-07,-2.33497E-06,-2.47657E-06,2.75283E-06,1.2316E-06,-6.50566E-06,-1.09628E-06,8.62443E-06,3.33978E-06,-3.93353E-06,-1.46941E-05
-5.77037E-06,1.21889E-06,-1.83142E-06,-1.30165E-06,1.24229E-06,-1.11821E-06,-6.16992E-06,-1.43229E-06,7.61749E-06,2.16481E-06,-5.77992E-06,-4.25581E-05
-3.75607E-06,2.22592E-06,1.02202E-06,-1.13383E-06,2.35291E-07,-1.78953E-06,-2.98075E-06,-7.61204E-07,5.26777E-06,1.99693E-06,-5.61212E-06,-8.0661E-05
-9.12714E-06,-1.24042E-07,3.70761E-06,-2.3088E-06,-1.00312E-07,-3.13224E-06,-2.14146E-06,-1.76861E-06,5.93932E-06,4.86254E-07,-5.44432E-06,-0.000109029
-3.21224E-05,-1.03629E-05,4.21115E-06,-4.65872E-06,-7.7161E-07,-5.48205E-06,-4.82701E-06,-5.7973E-06,7.11443E-06,-1.69582E-06,-6.45146E-06,-0.000114065
-5.72997E-05,-2.24481E-05,3.37191E-06,-4.99445E-06,-1.44291E-06,-4.47487E-06,-7.34471E-06,-9.99384E-06,6.94674E-06,-3.71004E-06,-6.45151E-06,-0.000100974
-3.96754E-05,-1.22094E-05,3.87546E-06,-4.32308E-06,-7.71416E-07,-2.1249E-06,-4.32339E-06,-3.95158E-06,6.6112E-06,-2.19942E-06,-5.44446E-06,-7.94901E-05
1.35329E-05,1.80034E-05,6.72889E-06,-3.48386E-06,5.71474E-07,5.60767E-07,1.71922E-06,8.46895E-06,5.60427E-06,9.89683E-07,-5.7802E-06,-5.64958E-05
4.65993E-05,3.3949E-05,5.88965E-06,-3.65174E-06,5.71571E-07,1.90364E-06,4.9084E-06,1.14899E-05,4.93303E-06,1.32535E-06,-6.11595E-06,-3.80334E-05
3.73677E-05,2.28709E-05,1.18987E-06,-4.49101E-06,-1.77822E-06,8.96629E-07,2.7264E-06,5.11135E-06,5.26889E-06,-2.03166E-06,-5.94815E-06,-2.67885E-05
